make,arabic_label,country,active
toyota,تويوتا,Japan,true
nissan,نيسان,Japan,true
hyundai,هيونداي,Korea,true
kia,كيا,Korea,true
mercedes,مرسيدس,Germany,true
bmw,بي أم دبليو,Germany,true
honda,هوندا,Japan,true
mazda,مازدا,Japan,true
mitsubishi,ميتسوبيشي,Japan,true
renault,رينو,France,true
peugeot,بيجو,France,true
chevrolet,شيفروليه,USA,true
ford,فورد,USA,true
