"id","countryId","officialCode","pcode","nameAr","nameEn","nameFr","normalizedAr","normalizedLatin","aliases","provenance","active"
"LB-GOV-BEY","LB","BEY","BEY","","Beirut","","beirut","beirut","","[object Object]","true"
"LB-GOV-MLB","LB","MLB","MLB","","Mount Lebanon","","mount lebanon","mount lebanon","","[object Object]","true"
"LB-GOV-NLB","LB","NLB","NLB","","North Lebanon","","north lebanon","north lebanon","","[object Object]","true"
"LB-GOV-AKK","LB","AKK","AKK","","Akkar","","akkar","akkar","","[object Object]","true"
"LB-GOV-BEQ","LB","BEQ","BEQ","","Bekaa","","bekaa","bekaa","","[object Object]","true"
"LB-GOV-BHB","LB","BHB","BHB","","Baalbek-Hermel","","baalbek hermel","baalbek hermel","","[object Object]","true"
"LB-GOV-SLB","LB","SLB","SLB","","South Lebanon","","south lebanon","south lebanon","","[object Object]","true"
"LB-GOV-NAB","LB","NAB","NAB","","Nabatieh","","nabatieh","nabatieh","","[object Object]","true"
