"LB-LOC-53624DE9A865","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-F8782348CF9E","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-914B203B4FE7","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-D5DD7786142B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-380403BF8A4E","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-DB5F06F50CF4","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-CB11AAC595C2","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-A64B93CD8D86","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-FCFDDC886872","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-4E05B01A2DBF","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-328BABF92B01","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-F826CBAFAA5F","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-B6E0445DF913","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-FAAE67698E58","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-CCA03F1190F2","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-CE7DB9E869D9","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-12B799DE66BB","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-3763C2F4BB27","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-B9006B065FA4","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-4371EEF2814F","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-3489BEA5F617","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-FE27B0578FF0","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C02F37CDD9CB","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-0F6186A4399B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-194044CB7A9F","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-4DE322BBB013","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-12C8D17C3B52","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-3676A5FD9E08","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-60D8727EC9EC","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C3D3833BD810","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-69096215F6E8","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C744803BA4EC","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C6D5FBBC8A46","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-42847D6188C8","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-F26A20DBC549","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C917AD1395B7","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-87AF6A506314","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-E1256D0D6759","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-ACAE1E490634","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-7365D28B0183","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-3B5FBE5042FD","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-A9C88A80B497","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-5AE94721E014","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-6F08286AD76D","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-30DFF735F16B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-6453629EA650","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-53615AF9346D","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-D77C6D0BD7F8","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-C3DF64E0096A","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-AA5F0B403A2B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-8E672F405A1E","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-136F23CE1EBC","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-B8EE8186CCDB","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-5F68AC21939B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-32C841CAABD6","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-2C9FD6F7B4AA","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-55E703404D67","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-67510F4F9619","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-A8D525EC44EF","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-66537561732A","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-E19D5FFBBA7E","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-42AFCEB6B23C","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-7FA25B7EE41D","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-BFA6ABA93EE2","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-9AD9DF4899BB","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-B47B7DAAFE43","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-3CA1AEB5BC4C","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-1701EAD26C96","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-0ACBC221BDC4","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-5BD697303EF3","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-D620767CD794","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-19BB8CED948A","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-31760CC7E728","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-164D04E72BA3","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-1DA9DC2E5953","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-8CC9CB005B8A","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-41D822E7F1D3","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-0E5A46E865FF","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-13CAF4690B8E","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-80A31984A3A8","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-0F84E0E8033B","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-7EB191B706AE","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-A29EB5E95468","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-LOC-A27B0C29EF73","No authoritative Arabic source with stable identity or exact hierarchy/name match"
