"canonical_locality_id","arabic_name","source_id","source_record_id","source_url","source_sha256","match_method","review_status","review_reference"
"LB-LOC-2C9FD6F7B4AA","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-55E703404D67","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-67510F4F9619","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A8D525EC44EF","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-66537561732A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-E19D5FFBBA7E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-42AFCEB6B23C","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7FA25B7EE41D","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-BFA6ABA93EE2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9AD9DF4899BB","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B47B7DAAFE43","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3CA1AEB5BC4C","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-1701EAD26C96","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0ACBC221BDC4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-5BD697303EF3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-D620767CD794","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-19BB8CED948A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-31760CC7E728","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-164D04E72BA3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-1DA9DC2E5953","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-8CC9CB005B8A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-41D822E7F1D3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0E5A46E865FF","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-13CAF4690B8E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-80A31984A3A8","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0F84E0E8033B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7EB191B706AE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A29EB5E95468","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A27B0C29EF73","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-12840C10AF06","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-2136D1978975","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-E89FB312EF2A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9608EDACD13F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4CB683AE2E6C","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4F8AC423E56F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A6BC225893B3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CB8B4D46E49F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-937F088D5B39","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-61266EE7C663","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7EDD02EE2BAF","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4491DA01E210","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9D830004660F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-75270E53FA84","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B2C1B7CB0906","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-67B72B3EF246","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
