"utc","stage","action","status","detail"
"2026-09-02T03:28:17.3957074Z","NATIVE","MIGRATION_STATUS_PROBE","PASS","exitCode=0"
"2026-09-02T03:28:38.8876988Z","NATIVE","GATEWAY_TYPECHECK","PASS","exitCode=0"
"2026-09-02T03:28:52.5117068Z","NATIVE","CMS_ROUTE_AND_PAYLOAD_BOUNDARY","PASS","exitCode=0"
"2026-09-02T03:29:17.8204809Z","NATIVE","FORMS_AND_ANNOUNCEMENTS_RUNTIME","PASS","exitCode=0"
"2026-09-02T03:29:52.1319755Z","NATIVE","ADMIN_TYPECHECK","PASS","exitCode=0"
"2026-09-02T03:30:14.1977018Z","NATIVE","ADMIN_BUILD","PASS","exitCode=0"
"2026-09-02T03:30:21.8120273Z","NATIVE","ZERO_SYNTHETIC_RESIDUE_CLEANUP","PASS","exitCode=0"
"2026-09-02T03:30:27.9356061Z","NATIVE","ZERO_SYNTHETIC_RESIDUE_PROBE","PASS","exitCode=0"
"2026-09-02T03:30:28.7906654Z","NATIVE","GIT_STATUS_FULL_UNTRACKED","PASS","exitCode=0"
