"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","sourceRecordId","active","provenance"
"LB-LOC-35241","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35241","برشا","Barcha","","populated-place","34.62651357","36.12083727","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35241","true","[object Object]"
"LB-LOC-35408","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35408","بردي","Bardeh","","populated-place","34.59509775","36.25555102","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35408","true","[object Object]"
"LB-LOC-35275","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35275","ببنين","Bebnine","","populated-place","34.50669367","35.99120282","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35275","true","[object Object]"
"LB-LOC-35175","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35175","بينو","Beino","","populated-place","34.54779501","36.17623847","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35175","true","[object Object]"
"LB-LOC-35337","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35337","بيت ايوب","Beit Ayoub","","populated-place","34.4724027","36.15807892","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35337","true","[object Object]"
"LB-LOC-35367","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35367","بيت الحوش","Beit El-Haouch","","populated-place","34.47848866","35.99739508","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35367","true","[object Object]"
"LB-LOC-35174","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35174","بيت ملات","Beit Mellat","","populated-place","34.53323338","36.15777595","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35174","true","[object Object]"
"LB-LOC-35321","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35321","بيت يونس","Beit Younes","","populated-place","34.47484675","36.14681425","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35321","true","[object Object]"
"LB-LOC-35433","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35433","برباره","Berbara Aakkar","","populated-place","34.57402383","36.18761807","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35433","true","[object Object]"
"LB-LOC-35314","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35314","برقايل","Berqayel","","populated-place","34.49043247","36.03035292","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35314","true","[object Object]"
"LB-LOC-35189","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35189","بزبينا","Bezbina","","populated-place","34.51315875","36.19154409","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35189","true","[object Object]"
"LB-LOC-35416","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35416","البيره عكار","Biret Aakkar","","populated-place","34.59199817","36.23805436","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35416","true","[object Object]"
"LB-LOC-35183","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35183","البرج عكار","Borj Aakkar","","populated-place","34.53251213","36.18740557","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35183","true","[object Object]"
"LB-LOC-35147","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35147","بقرزلا","Bqerzla","","populated-place","34.51162099","36.06552146","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35147","true","[object Object]"
"LB-LOC-35425","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35425","فسقين و عين اشما","Bsatine Aakkar","","populated-place","34.57919095","36.20179217","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35425","true","[object Object]"
"LB-LOC-35316","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35316","بزال","Bzal","","populated-place","34.46448326","36.04661974","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35316","true","[object Object]"
"LB-LOC-35320","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35320","شان","Chane","","populated-place","34.48495798","36.11117027","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35320","true","[object Object]"
"LB-LOC-35181","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35181","الشقدوف","Chaqdouf","","populated-place","34.52887421","36.19149113","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35181","true","[object Object]"
"LB-LOC-35457","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35457","شربيلا","Charbila","","populated-place","34.58149992","36.14562121","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35457","true","[object Object]"
"LB-LOC-35113","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35113","الشيخ محمد","Cheikh Mohammad","","populated-place","34.55413693","36.08262082","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35113","true","[object Object]"
