"id","code","governorateId","parentId","officialCode","pcode","nameAr","nameEn","nameFr","aliases","provenance","isOfficialDistrict","isUiSelectionNode","active"
"LB-DIST-C08378A1F450","Akkar|Akkar","LB-GOV-0B6790F71D48","LB-GOV-0B6790F71D48","","","","Akkar","","","","true","true","true"
"LB-DIST-05365E53925F","Baalbek-El Hermel|Baalbek","LB-GOV-E147CDE110C1","LB-GOV-E147CDE110C1","","","","Baalbek","","","","true","true","true"
"LB-DIST-9FFB8D778C3B","Baalbek-El Hermel|El Hermel","LB-GOV-E147CDE110C1","LB-GOV-E147CDE110C1","","","","El Hermel","","","","true","true","true"
"LB-DIST-E4C306B8B0BB","Beirut|Beirut","LB-GOV-0B663FD45FF5","LB-GOV-0B663FD45FF5","","","","Beirut","","","","true","true","true"
"LB-DIST-2985765BD3F8","Bekaa|Rachaya","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","","Rachaya","","","","true","true","true"
"LB-DIST-8B19B9546D66","Bekaa|West Bekaa","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","","West Bekaa","","","","true","true","true"
"LB-DIST-BD4134C26B67","Bekaa|Zahle","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","","Zahle","","","","true","true","true"
"LB-DIST-73C2DF9AE3DE","El Nabatieh|Bent Jbeil","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","","Bent Jbeil","","","","true","true","true"
"LB-DIST-F78AE923A8D3","El Nabatieh|El Nabatieh","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","","El Nabatieh","","","","true","true","true"
"LB-DIST-08F50C3578A8","El Nabatieh|Hasbaya","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","","Hasbaya","","","","true","true","true"
"LB-DIST-4843EFFE7408","El Nabatieh|Marjaayoun","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","","Marjaayoun","","","","true","true","true"
"LB-DIST-6FB616814DFF","Mount Lebanon|Aley","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","Aley","","","","true","true","true"
"LB-DIST-04E4A90C353A","Mount Lebanon|Baabda","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","Baabda","","","","true","true","true"
"LB-DIST-A147AA5D4F3B","Mount Lebanon|Chouf","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","Chouf","","","","true","true","true"
"LB-DIST-5BF720066F5A","Mount Lebanon|El Meten","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","El Meten","","","","true","true","true"
"LB-DIST-23305D92D7F6","Mount Lebanon|Jbeil","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","Jbeil","","","","true","true","true"
"LB-DIST-668F902C9D9E","Mount Lebanon|Kesrwane","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","","Kesrwane","","","","true","true","true"
"LB-DIST-50A9A788E748","North|Bcharre","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","Bcharre","","","","true","true","true"
"LB-DIST-6A700DB60E42","North|El Batroun","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","El Batroun","","","","true","true","true"
"LB-DIST-BD3D8FEE18DD","North|El Koura","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","El Koura","","","","true","true","true"
"LB-DIST-B7EBD77EABB8","North|El Minieh-Dennie","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","El Minieh-Dennie","","","","true","true","true"
"LB-DIST-772E83319A6C","North|Tripoli","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","Tripoli","","","","true","true","true"
"LB-DIST-954B9B3A451B","North|Zgharta","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","","Zgharta","","","","true","true","true"
"LB-DIST-24876D5E7CCD","South|Jezzine","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","","Jezzine","","","","true","true","true"
"LB-DIST-2074448C9F6C","South|Saida","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","","Saida","","","","true","true","true"
"LB-DIST-EC70FD23603B","South|Sour","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","","Sour","","","","true","true","true"
