"id","countryId","officialCode","pcode","nameAr","nameEn","nameFr","normalizedAr","normalizedLatin","aliases","provenance","active"
"LB-GOV-0B6790F71D48","LB","Akkar","","","Akkar","","","akkar","","","true"
"LB-GOV-E147CDE110C1","LB","Baalbek-El Hermel","","","Baalbek-El Hermel","","","baalbek el hermel","","","true"
"LB-GOV-0B663FD45FF5","LB","Beirut","","","Beirut","","","beirut","","","true"
"LB-GOV-7B1E9DBA436A","LB","Bekaa","","","Bekaa","","","bekaa","","","true"
"LB-GOV-FCD3D044F36B","LB","El Nabatieh","","","El Nabatieh","","","el nabatieh","","","true"
"LB-GOV-C98952C33ACF","LB","Mount Lebanon","","","Mount Lebanon","","","mount lebanon","","","true"
"LB-GOV-43F853BBB592","LB","North","","","North","","","north","","","true"
"LB-GOV-0DD2DAE4DD83","LB","South","","","South","","","south","","","true"
