"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-B6EE8A510BF4","Aabboudiyeh","aabboudiyeh","en","LB-LOC-35249","[object Object]","true"
"LB-ALIAS-1BDADC855F25","العبودية","العبودية","ar","LB-LOC-35249","[object Object]","true"
"LB-ALIAS-CA27785A4F67","Aain Ez-Zeit","aain ez zeit","en","LB-LOC-35427","[object Object]","true"
"LB-ALIAS-9DFAE89E8D93","عين الزيت","عين الزيت","ar","LB-LOC-35427","[object Object]","true"
"LB-ALIAS-D45775C5DD81","Aain Tinta","aain tinta","en","LB-LOC-35435","[object Object]","true"
"LB-ALIAS-F9F2E2DDE753","عين تنتا","عين تنتا","ar","LB-LOC-35435","[object Object]","true"
"LB-ALIAS-8E8F1F639CFD","Aain Yaaqoub","aain yaaqoub","en","LB-LOC-35187","[object Object]","true"
"LB-ALIAS-61671391E652","عين يعقوب","عين يعقوب","ar","LB-LOC-35187","[object Object]","true"
"LB-ALIAS-CF67AB3105A1","Aaiyat","aaiyat","en","LB-LOC-35185","[object Object]","true"
"LB-ALIAS-6B1C287C4B4C","عيات","عيات","ar","LB-LOC-35185","[object Object]","true"
"LB-ALIAS-7D3F9C96D340","Aakkar El-Aatiqa","aakkar el aatiqa","en","LB-LOC-35191","[object Object]","true"
"LB-ALIAS-2E8B4FC3E75C","عكار العتيقة","عكار العتيقة","ar","LB-LOC-35191","[object Object]","true"
"LB-ALIAS-14A169FC3A5D","Aamaret Aakkar","aamaret aakkar","en","LB-LOC-35265","[object Object]","true"
"LB-ALIAS-7A7286F4C422","عماره","عماره","ar","LB-LOC-35265","[object Object]","true"
"LB-ALIAS-FA39E7B19694","Aamaret El-Baykat","aamaret el baykat","en","LB-LOC-35449","[object Object]","true"
"LB-ALIAS-3E3CD26BCFE1","عمار البيكات","عمار البيكات","ar","LB-LOC-35449","[object Object]","true"
"LB-ALIAS-6D4CE215AB19","Aamayer","aamayer","en","LB-LOC-35512","[object Object]","true"
"LB-ALIAS-C30263082B62","العماير","العماير","ar","LB-LOC-35512","[object Object]","true"
"LB-ALIAS-98E7E75E7029","Aamriyet Aakkar","aamriyet aakkar","en","LB-LOC-35421","[object Object]","true"
"LB-ALIAS-D9DB599062B4","العمارية","العمارية","ar","LB-LOC-35421","[object Object]","true"
"LB-ALIAS-89DB58512CCF","Aandqet","aandqet","en","LB-LOC-35498","[object Object]","true"
"LB-ALIAS-6233BAD5D516","عندقت","عندقت","ar","LB-LOC-35498","[object Object]","true"
"LB-ALIAS-E134DB0A6817","Aaouaainat Aakkar","aaouaainat aakkar","en","LB-LOC-35420","[object Object]","true"
"LB-ALIAS-48865D21FC34","العوينات","العوينات","ar","LB-LOC-35420","[object Object]","true"
"LB-ALIAS-678253D61F03","AAridet Cheikh Zennad","aaridet cheikh zennad","en","LB-LOC-35273","[object Object]","true"
"LB-ALIAS-BA1266BAC059","العريضة","العريضة","ar","LB-LOC-35273","[object Object]","true"
"LB-ALIAS-C5DA5DF9AEB4","Aarmeh","aarmeh","en","LB-LOC-35484","[object Object]","true"
"LB-ALIAS-C61BE7823CEA","عرمه","عرمه","ar","LB-LOC-35484","[object Object]","true"
"LB-ALIAS-D8A7936AB581","Aarqa","aarqa","en","LB-LOC-35141","[object Object]","true"
"LB-ALIAS-9614ABCF67D9","عرقا","عرقا","ar","LB-LOC-35141","[object Object]","true"
"LB-ALIAS-46270FE3AA9C","Aayoun Aakkar","aayoun aakkar","en","LB-LOC-35177","[object Object]","true"
"LB-ALIAS-C8791E4563D1","العيون","العيون","ar","LB-LOC-35177","[object Object]","true"
"LB-ALIAS-98E72AC4551E","Aayoun El-Ghizlane","aayoun el ghizlane","en","LB-LOC-35347","[object Object]","true"
"LB-ALIAS-675E833311F9","عيون الغزلان","عيون الغزلان","ar","LB-LOC-35347","[object Object]","true"
"LB-ALIAS-CF552A839D79","Baghdadi","baghdadi","en","LB-LOC-35439","[object Object]","true"
"LB-ALIAS-94DF82D334A6","دوسة بغدادي","دوسة بغدادي","ar","LB-LOC-35439","[object Object]","true"
"LB-ALIAS-3979A302DF4C","Balde WaMazraatBaldeh","balde wamazraatbaldeh","en","LB-LOC-35158","[object Object]","true"
"LB-ALIAS-7078CFC8EFA8","بلدي","بلدي","ar","LB-LOC-35158","[object Object]","true"
"LB-ALIAS-23FEBB42382E","Barcha","barcha","en","LB-LOC-35241","[object Object]","true"
"LB-ALIAS-2D9DFB8E639A","برشا","برشا","ar","LB-LOC-35241","[object Object]","true"
"LB-ALIAS-AED69EEE88B3","Bardeh","bardeh","en","LB-LOC-35408","[object Object]","true"
"LB-ALIAS-120937F2A584","بردي","بردي","ar","LB-LOC-35408","[object Object]","true"
"LB-ALIAS-DE40EA523F8B","Bebnine","bebnine","en","LB-LOC-35275","[object Object]","true"
"LB-ALIAS-D8FA92C75B1D","ببنين","ببنين","ar","LB-LOC-35275","[object Object]","true"
"LB-ALIAS-14E18917FB02","Beino","beino","en","LB-LOC-35175","[object Object]","true"
"LB-ALIAS-8B251D39BA82","بينو","بينو","ar","LB-LOC-35175","[object Object]","true"
"LB-ALIAS-F3E7E3008D93","Beit Ayoub","beit ayoub","en","LB-LOC-35337","[object Object]","true"
"LB-ALIAS-E9CDBEC3AF42","بيت ايوب","بيت ايوب","ar","LB-LOC-35337","[object Object]","true"
"LB-ALIAS-37D2897BDDE3","Beit El-Haouch","beit el haouch","en","LB-LOC-35367","[object Object]","true"
"LB-ALIAS-908DE38CD1E6","بيت الحوش","بيت الحوش","ar","LB-LOC-35367","[object Object]","true"
"LB-ALIAS-8470E28EA039","Beit Mellat","beit mellat","en","LB-LOC-35174","[object Object]","true"
"LB-ALIAS-72261CAFF238","بيت ملات","بيت ملات","ar","LB-LOC-35174","[object Object]","true"
"LB-ALIAS-4F9C5B63FBE4","Beit Younes","beit younes","en","LB-LOC-35321","[object Object]","true"
"LB-ALIAS-6DCF1C366707","بيت يونس","بيت يونس","ar","LB-LOC-35321","[object Object]","true"
"LB-ALIAS-6FE42A15586D","Berbara Aakkar","berbara aakkar","en","LB-LOC-35433","[object Object]","true"
"LB-ALIAS-2B58BC5D1A12","برباره","برباره","ar","LB-LOC-35433","[object Object]","true"
"LB-ALIAS-EC38FE311B30","Berqayel","berqayel","en","LB-LOC-35314","[object Object]","true"
"LB-ALIAS-5060C2CC1BD0","برقايل","برقايل","ar","LB-LOC-35314","[object Object]","true"
"LB-ALIAS-7871AF9A8E17","Bezbina","bezbina","en","LB-LOC-35189","[object Object]","true"
"LB-ALIAS-F8CC78A5ACB2","بزبينا","بزبينا","ar","LB-LOC-35189","[object Object]","true"
"LB-ALIAS-3D06D6F33BCF","Biret Aakkar","biret aakkar","en","LB-LOC-35416","[object Object]","true"
"LB-ALIAS-EAA9225335C9","البيره عكار","البيره عكار","ar","LB-LOC-35416","[object Object]","true"
"LB-ALIAS-358F2CFAFCB5","Borj Aakkar","borj aakkar","en","LB-LOC-35183","[object Object]","true"
"LB-ALIAS-ECB2DD1F989F","البرج عكار","البرج عكار","ar","LB-LOC-35183","[object Object]","true"
"LB-ALIAS-2DFBFA7EAE06","Bqerzla","bqerzla","en","LB-LOC-35147","[object Object]","true"
"LB-ALIAS-2DC58A5C7C1C","بقرزلا","بقرزلا","ar","LB-LOC-35147","[object Object]","true"
"LB-ALIAS-F7917ACC609F","Bsatine Aakkar","bsatine aakkar","en","LB-LOC-35425","[object Object]","true"
"LB-ALIAS-9C63DF960A46","فسقين و عين اشما","فسقين و عين اشما","ar","LB-LOC-35425","[object Object]","true"
"LB-ALIAS-46A2FA61FC7C","Bzal","bzal","en","LB-LOC-35316","[object Object]","true"
"LB-ALIAS-335515A4A868","بزال","بزال","ar","LB-LOC-35316","[object Object]","true"
"LB-ALIAS-6E317C2089B7","Chane","chane","en","LB-LOC-35320","[object Object]","true"
"LB-ALIAS-F87AEE06CF74","شان","شان","ar","LB-LOC-35320","[object Object]","true"
"LB-ALIAS-27421371190A","Chaqdouf","chaqdouf","en","LB-LOC-35181","[object Object]","true"
"LB-ALIAS-ECC9EFC6EDA4","الشقدوف","الشقدوف","ar","LB-LOC-35181","[object Object]","true"
"LB-ALIAS-78CD6268C5D4","Charbila","charbila","en","LB-LOC-35457","[object Object]","true"
"LB-ALIAS-B6711F45F01A","شربيلا","شربيلا","ar","LB-LOC-35457","[object Object]","true"
"LB-ALIAS-1E35B687364A","Cheikh Mohammad","cheikh mohammad","en","LB-LOC-35113","[object Object]","true"
"LB-ALIAS-71B03922C02C","الشيخ محمد","الشيخ محمد","ar","LB-LOC-35113","[object Object]","true"
"LB-ALIAS-A9EAB0A39093","Cheikh Taba","cheikh taba","en","LB-LOC-35123","[object Object]","true"
"LB-ALIAS-660A013126C3","الشيخ طابا","الشيخ طابا","ar","LB-LOC-35123","[object Object]","true"
"LB-ALIAS-3758D53E33B4","Cheikh Taba Es-Sahl","cheikh taba es sahl","en","LB-LOC-35121","[object Object]","true"
"LB-ALIAS-76D444BDD043","الشيخ طابا السهل","الشيخ طابا السهل","ar","LB-LOC-35121","[object Object]","true"
"LB-ALIAS-380442BA3887","Cheikh Zennad","cheikh zennad","en","LB-LOC-35267","[object Object]","true"
"LB-ALIAS-036BD7AB2C5A","الشيخ زناد","الشيخ زناد","ar","LB-LOC-35267","[object Object]","true"
"LB-ALIAS-A609EA97E1E8","Cheikhlar","cheikhlar","en","LB-LOC-35402","[object Object]","true"
"LB-ALIAS-21418E245CC0","شيخلار","شيخلار","ar","LB-LOC-35402","[object Object]","true"
"LB-ALIAS-A666E51EBBA9","Chir Hmairine","chir hmairine","en","LB-LOC-35224","[object Object]","true"
"LB-ALIAS-D4C4B56B69E0","شير حمارين","شير حمارين","ar","LB-LOC-35224","[object Object]","true"
"LB-ALIAS-7260A9EAA90F","Daghleh","daghleh","en","LB-LOC-35419","[object Object]","true"
"LB-ALIAS-340F0F393C85","الدغلة","الدغلة","ar","LB-LOC-35419","[object Object]","true"
"LB-ALIAS-74DF42959939","Dahr Laissine","dahr laissine","en","LB-LOC-35155","[object Object]","true"
"LB-ALIAS-523C8ED0E750","ضهر ليسينه","ضهر ليسينه","ar","LB-LOC-35155","[object Object]","true"
"LB-ALIAS-6D7E9461F38C","Daouret Aakkar","daouret aakkar","en","LB-LOC-35126","[object Object]","true"
