"id","countryId","officialCode","pcode","nameAr","nameEn","nameFr","normalizedAr","normalizedLatin","aliases","provenance","active"
"LB-GOV-0B6790F71D48","LB","Akkar","","عكار","Akkar","","عكار","akkar","","[object Object]","true"
"LB-GOV-E147CDE110C1","LB","Baalbek-El Hermel","","بعلبك الهرمل","Baalbek-El Hermel","","بعلبك الهرمل","baalbek el hermel","","[object Object]","true"
"LB-GOV-0B663FD45FF5","LB","Beirut","","بيروت","Beirut","","بيروت","beirut","","[object Object]","true"
"LB-GOV-7B1E9DBA436A","LB","Bekaa","","البقاع","Bekaa","","البقاع","bekaa","","[object Object]","true"
"LB-GOV-FCD3D044F36B","LB","El Nabatieh","","النبطية","El Nabatieh","","النبطية","el nabatieh","","[object Object]","true"
"LB-GOV-C98952C33ACF","LB","Mount Lebanon","","جبل لبنان","Mount Lebanon","","جبل لبنان","mount lebanon","","[object Object]","true"
"LB-GOV-43F853BBB592","LB","North","","الشمال","North","","الشمال","north","","[object Object]","true"
"LB-GOV-0DD2DAE4DD83","LB","South","","الجنوب","South","","الجنوب","south","","[object Object]","true"
