"id","code","governorateId","parentId","officialCode","pcode","nameAr","nameEn","nameFr","aliases","provenance","isOfficialDistrict","isUiSelectionNode","active"
"LB-DIST-C08378A1F450","Akkar|Akkar","LB-GOV-0B6790F71D48","LB-GOV-0B6790F71D48","","","عكار","Akkar","","","[object Object]","true","true","true"
"LB-DIST-05365E53925F","Baalbek-El Hermel|Baalbek","LB-GOV-E147CDE110C1","LB-GOV-E147CDE110C1","","","بعلبك","Baalbek","","","[object Object]","true","true","true"
"LB-DIST-9FFB8D778C3B","Baalbek-El Hermel|El Hermel","LB-GOV-E147CDE110C1","LB-GOV-E147CDE110C1","","","الهرمل","El Hermel","","","[object Object]","true","true","true"
"LB-DIST-E4C306B8B0BB","Beirut|Beirut","LB-GOV-0B663FD45FF5","LB-GOV-0B663FD45FF5","","","بيروت","Beirut","","","[object Object]","true","true","true"
"LB-DIST-2985765BD3F8","Bekaa|Rachaya","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","راشيا","Rachaya","","","[object Object]","true","true","true"
"LB-DIST-8B19B9546D66","Bekaa|West Bekaa","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","البقاع الغربي","West Bekaa","","","[object Object]","true","true","true"
"LB-DIST-BD4134C26B67","Bekaa|Zahle","LB-GOV-7B1E9DBA436A","LB-GOV-7B1E9DBA436A","","","زحلة","Zahle","","","[object Object]","true","true","true"
"LB-DIST-73C2DF9AE3DE","El Nabatieh|Bent Jbeil","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","بنت جبيل","Bent Jbeil","","","[object Object]","true","true","true"
"LB-DIST-F78AE923A8D3","El Nabatieh|El Nabatieh","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","النبطية","El Nabatieh","","","[object Object]","true","true","true"
"LB-DIST-08F50C3578A8","El Nabatieh|Hasbaya","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","حاصبيا","Hasbaya","","","[object Object]","true","true","true"
"LB-DIST-4843EFFE7408","El Nabatieh|Marjaayoun","LB-GOV-FCD3D044F36B","LB-GOV-FCD3D044F36B","","","مرجعيون","Marjaayoun","","","[object Object]","true","true","true"
"LB-DIST-6FB616814DFF","Mount Lebanon|Aley","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","عاليه","Aley","","","[object Object]","true","true","true"
"LB-DIST-04E4A90C353A","Mount Lebanon|Baabda","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","بعبدا","Baabda","","","[object Object]","true","true","true"
"LB-DIST-A147AA5D4F3B","Mount Lebanon|Chouf","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","الشوف","Chouf","","","[object Object]","true","true","true"
"LB-DIST-5BF720066F5A","Mount Lebanon|El Meten","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","المتن","El Meten","","","[object Object]","true","true","true"
"LB-DIST-23305D92D7F6","Mount Lebanon|Jbeil","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","جبيل","Jbeil","","","[object Object]","true","true","true"
"LB-DIST-668F902C9D9E","Mount Lebanon|Kesrwane","LB-GOV-C98952C33ACF","LB-GOV-C98952C33ACF","","","كسروان","Kesrwane","","","[object Object]","true","true","true"
"LB-DIST-50A9A788E748","North|Bcharre","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","بشري","Bcharre","","","[object Object]","true","true","true"
"LB-DIST-6A700DB60E42","North|El Batroun","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","البترون","El Batroun","","","[object Object]","true","true","true"
"LB-DIST-BD3D8FEE18DD","North|El Koura","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","الكورة","El Koura","","","[object Object]","true","true","true"
"LB-DIST-B7EBD77EABB8","North|El Minieh-Dennie","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","المنية-الضنية","El Minieh-Dennie","","","[object Object]","true","true","true"
"LB-DIST-772E83319A6C","North|Tripoli","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","طرابلس","Tripoli","","","[object Object]","true","true","true"
"LB-DIST-954B9B3A451B","North|Zgharta","LB-GOV-43F853BBB592","LB-GOV-43F853BBB592","","","زغرتا","Zgharta","","","[object Object]","true","true","true"
"LB-DIST-24876D5E7CCD","South|Jezzine","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","جزين","Jezzine","","","[object Object]","true","true","true"
"LB-DIST-2074448C9F6C","South|Saida","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","صيدا","Saida","","","[object Object]","true","true","true"
"LB-DIST-EC70FD23603B","South|Sour","LB-GOV-0DD2DAE4DD83","LB-GOV-0DD2DAE4DD83","","","صور","Sour","","","[object Object]","true","true","true"
