"id","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus"
"LB-LOC-35147","34.51162099","36.06552146","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35425","34.57919095","36.20179217","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35316","34.46448326","36.04661974","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35320","34.48495798","36.11117027","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35181","34.52887421","36.19149113","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35457","34.58149992","36.14562121","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35113","34.55413693","36.08262082","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35123","34.53421683","36.08081822","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35121","34.55128354","36.06115666","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35267","34.61133454","35.99717436","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35402","34.61994607","36.27798376","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35224","34.62333336","36.10150596","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35419","34.5799263","36.21335808","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35155","34.53912922","36.13917067","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35126","34.54490924","36.22232754","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35225","34.61041715","36.10402549","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35511","34.67702765","36.33158004","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35149","34.52567172","36.01840347","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35441","34.56660852","36.17642791","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35432","34.62704141","36.20866385","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35318","34.48903737","36.08430394","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35443","34.58020723","36.17220345","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35353","34.45923044","36.22006118","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35412","34.61736032","36.2272085","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35475","34.59739042","36.10952871","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35326","34.46770132","36.09094061","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35131","34.52513775","36.05302755","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35111","34.55468929","36.07270725","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35219","34.58666969","36.10164105","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35221","34.58882649","36.04973553","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35463","34.60449682","36.13026137","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
"LB-LOC-35139","34.55119939","36.13692596","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported"
