"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-FA3D017DAE58","Kssara","kssara","en","LB-LOC-8C1A87AD7193","[object Object]","true"
"LB-ALIAS-CC00764862BD","Maallaqa","maallaqa","en","LB-LOC-5CA736E3EBF8","[object Object]","true"
"LB-ALIAS-19DDCAE26A46","Maallaqa_el-Aalya","maallaqa_el aalya","en","LB-LOC-5B77A8D783BA","[object Object]","true"
"LB-ALIAS-9FB878DA2292","Majdel_Anjar","majdel_anjar","en","LB-LOC-6B412958E2EA","[object Object]","true"
"LB-ALIAS-925223E51CED","Makseh","makseh","en","LB-LOC-EB9FCDA124CE","[object Object]","true"
"LB-ALIAS-7BC3F265425A","Manarah-ZA","manarah za","en","LB-LOC-1B79059F7B62","[object Object]","true"
"LB-ALIAS-C579BED20860","Nabi_Chet","nabi_chet","en","LB-LOC-BC3D682C759A","[object Object]","true"
"LB-ALIAS-A5CD55C30B40","Niha-ZA","niha za","en","LB-LOC-4CA88E93F91B","[object Object]","true"
"LB-ALIAS-510EB759EB72","Qaa_er-Rim","qaa_er rim","en","LB-LOC-8315876ECF17","[object Object]","true"
"LB-ALIAS-D7AE2199917C","Qammoua-ZA","qammoua za","en","LB-LOC-32B61BFE60B4","[object Object]","true"
"LB-ALIAS-A92D2FEA19D6","Qortaba-ZA","qortaba za","en","LB-LOC-1AE438121144","[object Object]","true"
"LB-ALIAS-660D5543CE9F","Raait","raait","en","LB-LOC-33DCCEC2F233","[object Object]","true"
"LB-ALIAS-E766EC69F0C1","Rawdha-ZA","rawdha za","en","LB-LOC-929350D8FDFF","[object Object]","true"
"LB-ALIAS-181B6E516663","Riyaq","riyaq","en","LB-LOC-68626AD868E3","[object Object]","true"
"LB-ALIAS-6BCB281DAF8B","Riyaq_el-Aala","riyaq_el aala","en","LB-LOC-3CA7DB402E7E","[object Object]","true"
"LB-ALIAS-EF40CAB11D27","Saadnayel","saadnayel","en","LB-LOC-2DDAF1A38357","[object Object]","true"
"LB-ALIAS-3B1F1F75CAB0","Saadnayel_el-Aala","saadnayel_el aala","en","LB-LOC-E3A7874589E8","[object Object]","true"
"LB-ALIAS-09A95769C238","Sifri","sifri","en","LB-LOC-1494077E7D77","[object Object]","true"
"LB-ALIAS-28295D4681EC","Taalabaya","taalabaya","en","LB-LOC-61E21D7BEED7","[object Object]","true"
"LB-ALIAS-413C921D06B2","Taanayel","taanayel","en","LB-LOC-03576E4BD9D4","[object Object]","true"
"LB-ALIAS-F0E1FA6801EB","Tawqat","tawqat","en","LB-LOC-293F33C0C46A","[object Object]","true"
"LB-ALIAS-F18F600DA7B7","Terbol","terbol","en","LB-LOC-08729326618B","[object Object]","true"
